,GIG(0) (B + W),GIG(20) (B + W),IG (Black + White),Grad-CAM,RISE
37,0.808622908997495,0.9081572824959747,0.8458611372521975,0.15893863503135638,0.10663326884575024
38,0.3389377739157731,0.06669144766589549,0.22147370359388233,0.1860477425061011,0.21994992810327352
39,0.06921416293545109,0.03270548118938071,0.06820328062814143,0.09284388371468393,0.2923463656732483
40,0.7566701471255833,0.5379543369564797,0.7126617282789892,0.241761211956489,0.15384100441879128
41,0.03390213604086764,0.016453459270360328,0.1560576967961121,0.3970740220346771,0.47722682399617045
42,0.029641519955071596,0.014742509587550658,0.028545770573651277,0.02357368225655389,0.03361486588097857
43,0.010425909903844715,0.012002032392936396,0.017246750607025914,0.016499572668948935,0.10757659988917617
44,0.1243878438105134,0.011198118419916784,0.084224610356614,0.07676983164330725,0.04535145123825512
45,0.01690460264006914,0.007061403904905698,0.2036228409895557,0.13920008338350776,0.0841212603090955
46,0.029867423018004047,0.01610344198658519,0.12646556901785921,0.0351954799676605,0.07569281788609158
47,0.5119484036514121,0.08112366433924763,0.07499507431445333,0.5128474139196139,0.6238565881841673
48,0.011957960789732169,0.011288184456983192,0.012402155351527553,0.028155949603630385,0.015442711406487635
49,0.011900170520271381,0.011829836046429894,0.01277570805816342,0.02443507956082208,0.09787466496216236
50,0.21858829916390177,0.0321534451067944,0.2725510081561677,0.024904725522194186,0.0442272244700689
51,0.011808097176092108,0.009773335409085525,0.11205604195048283,0.016348959412592498,0.07564467880729353
52,0.22560066003562598,0.29489315715826603,0.3504893198918176,0.29008465513325066,0.4080685946062052
53,0.010505194440257683,0.010555700785577453,0.010416535832175416,0.11162136491087343,0.05300149960958152
54,0.39434194900483516,0.26083647874501265,0.2648120793503848,0.2489984649582766,0.2577910523459044
55,0.010986344570277298,0.010834959874109195,0.011661946006158056,0.024556402208044247,0.4407217063198914
56,0.008263199723215722,0.009075026901619923,0.008241838899428129,0.010043494038028358,0.022230766588957826
57,0.010039957862399104,0.00988996418390242,0.009957395804990988,0.025099963240791112,0.04739378214241394
58,0.010282094840416296,0.010714145723694755,0.11135652321980968,0.2926701280291632,0.2288532616039447
59,0.05090745798079297,0.06109070194280422,0.19765163533698393,0.36614152507811215,0.3795292226154642
60,0.26119639686805585,0.15118984899965857,0.5522542749933159,0.20882442668759418,0.3388642886365738
61,0.03345094480739337,0.09365354320196073,0.24709377272423202,0.058120375048707096,0.11256308801178723
62,0.05810184794200823,0.014402818234035901,0.02867821873981787,0.12932106720755757,0.2177088985201408
63,0.012084692951389621,0.017008063287256743,0.030305509385107142,0.060516425626701675,0.062398773415770846
64,0.00956395973472455,0.009363435174155813,0.011482598107396472,0.02302376821648472,0.025442746488857262
65,0.3634693690954009,0.17915908557576282,0.19247921834939916,0.2963604680389431,0.6940935797776748
66,0.11876111600399276,0.013346324818364034,0.027154717206980827,0.043950832886103956,0.10959780447398468
67,0.013879967568371083,0.019107916732092337,0.12519449071535038,0.0307584519615375,0.06978102284030885
68,0.7119521143322345,0.5733208889233841,0.7053284450589369,0.7972141421091187,0.6287642418964727
69,0.127610483633018,0.18898534710428472,0.1617654869274702,0.596614766774615,0.43406087938488375
70,0.1590510326051218,0.0771679167459499,0.09172075021860009,0.2387383837142099,0.22662211803122367
71,0.023131701544237635,0.013271824410185217,0.02942716582991933,0.16822307286250482,0.166893909436961
72,0.21259478611407556,0.13200408334572178,0.19017323130190358,0.48905855025028966,0.21891788433810386
73,0.01416230686574838,0.007357498524167265,0.014461532967106904,0.01740365182259767,0.023545182121071977
74,0.3504998201140501,0.12737304890761153,0.2851174672595031,0.0821488479845761,0.10875422504464546
75,0.07886588982914368,0.03891140058355328,0.12587864372213112,0.2233705810560625,0.6268558084022111
76,0.09003339363205466,0.012653268830722987,0.0490603331174763,0.03796585483892664,0.02536720691183392
77,0.45643372966991996,0.30867363089119965,0.31866773521744307,0.394334633565005,0.3936707054269694
78,0.5415506334768401,0.24208355621982872,0.4769671449107894,0.040020259259553215,0.052469823829566546
79,0.8653177784859306,0.7134896730693678,0.3727937521516449,0.11718305428932783,0.10372316820398232
80,0.010196686862036586,0.018563426840733477,0.057277299546856536,0.07630880484608092,0.07156840050423752
81,0.05243877042489152,0.024191094111463623,0.12088176926206667,0.06387425481985297,0.16953216494643533
